SKpersonId_person1,SKpersonId_person2,personStrId_person1,personStrId_person2,sign
skp003755,skp003623,Apollonio Bassetti^1631^1699^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp008118,skp003623,Christophorus Arnoldus van Neurenberg^0^0^1666,Antonio Marco Magliabechi^1633^1714^0,-1
skp011835,skp003623,Enrico Noris^1631^1704^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp035864,skp003623,Nicolaas Heinsius^1620^1681^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp036430,skp003623,Ottavio Ferrari^1607^1682^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp035864,skp024024,Nicolaas Heinsius^1620^1681^0,Jacobus Gronovius^1645^1716^0,-1
skp024024,skp042335,Jacobus Gronovius^1645^1716^0,Theodorus Rijckius^1640^1690^0,-1
gap0005,skp003623,Academia Naturae Curiosorum^0^0^1678,Antonio Marco Magliabechi^1633^1714^0,1
gap0048,skp003623,Andreini Pier Andrea^0^0^1690,Antonio Marco Magliabechi^1633^1714^0,1
gap0053,skp003623,Angeli Stefano^0^0^1670,Antonio Marco Magliabechi^1633^1714^0,1
gap0056,skp003623,Angioli Daniello^0^0^1678,Antonio Marco Magliabechi^1633^1714^0,1
gap0058,skp003623,Anisson; Posuel e Rigaud^0^0^1696,Antonio Marco Magliabechi^1633^1714^0,1
gap0059,skp003623,Anisson Jacques^0^0^1687,Antonio Marco Magliabechi^1633^1714^0,1
gap0060,skp003623,Anisson Jean^0^0^1679,Antonio Marco Magliabechi^1633^1714^0,1
skp001591,skp035864,Abraham van Berkel^1639^1686^0,Nicolaas Heinsius^1620^1681^0,1
skp001862,skp035864,Adriaan Beverland^1650^1716^0,Nicolaas Heinsius^1620^1681^0,1
skp002048,skp020583,Adrianus Blyenburch^1616^1684^0,Isaac Vossius^1618^1689^0,1
skp028586,skp002048,Johannes Georgius Graevius^1632^1703^0,Adrianus Blyenburch^1616^1684^0,1
skp002048,skp035864,Adrianus Blyenburch^1616^1684^0,Nicolaas Heinsius^1620^1681^0,1
skp002809,skp003623,Andreas Arnoldus^1646^1694^0,Antonio Marco Magliabechi^1633^1714^0,1
skp002974,skp003623,Angelico Aprosius^1607^1681^0,Antonio Marco Magliabechi^1633^1714^0,1
skp003243,skp003623,Ant. Pagi^0^0^1698,Antonio Marco Magliabechi^1633^1714^0,1
